id	active	fungusLatinName	fungusCommonName	clueRoots	clueButt	clueLowerStem	clueUpperStem	clueBranches	clueFoliage	whyThisFungus	keyDifferentiators	clinicalNotes	examTip	imageRef
11	YES	Fistulina hepatica	Beefsteak Fungus	No visible root symptoms	"Annual brackets at base common, deep red-brown color, soft texture, bleeds red juice when cut"	"Brackets on lower stem particularly in cavities, bleeding appearance when fresh"	Brackets occasionally higher on stem	Brackets rare on branches	"Crown healthy in early stages, shows stress in advanced decay"	Deep red-brown brackets bleeding red juice diagnostic (beefsteak appearance). Soft texture. Causes slow brown cubical rot (different from white rots). Sweet chestnut and oak specialist. Annual brackets (summer/autumn). Cavity colonization common. Distinctive appearance unlike other fungi.	"GANODERMA: Brown but hard woody, no bleeding, white rot. LAETIPORUS: Yellow/orange (not red-brown), no bleeding. INONOTUS: Rust-brown, no bleeding. UNIQUE TO FISTULINA: Bleeds red juice when cut (beefsteak appearance), soft texture, brown cubical rot, sweet chestnut/oak specialist, annual brackets, cavity colonization, relatively slow decay."	"Color: Deep red-brown (raw meat appearance). Texture: Soft, tongue-like (fleshy). Bleeding: Red juice when cut or bruised (diagnostic). Decay: Brown cubical rot (slow progression). Host: Sweet chestnut primarily, oak commonly, rarely other broadleaves. Location: Base and stem, particularly in cavities. Edibility: Edible (sour taste). Season: Summer to autumn. Progression: Slow (tree may survive decades)."	"If ""bleeding red juice"" or ""beefsteak"" mentioned ? ALWAYS Fistulina hepatica (unique feature). ""Hepatica"" = liver-like (appearance/texture). Sweet chestnut association strong. Remember: Fistulina (one-S), hepatica (one-T). Bleeding diagnostic - test in field by cutting small piece."	fistulina_beefsteak_bleeding
12	YES	Phellinus igniarius	Willow Bracket	No visible root symptoms	Brackets occasionally at base	"Perennial hoof-shaped brackets on stem, grey-black upper surface, very hard texture, rusty-brown lower surface when broken"	"Multiple brackets at various stem heights, hard woody texture continues"	Brackets can appear on larger branches	"Crown thinning progressive, willow shows characteristic stress response with epicormic growth"	"Grey-black hoof-shaped brackets diagnostic. Very hard (hardest common bracket - ""igniarius"" = fire-resistant historically). Willow specialist primarily. White rot of heartwood. Perennial brackets (slow growing, add layers annually). Distinguished from Fomes by darker color, willow host, harder texture."	"FOMES: Lighter grey (not grey-black), beech host (not willow), similar form. GANODERMA: Brown color, base location, spore deposits. INONOTUS: Rust-brown, hairy, ash host. UNIQUE TO PHELLINUS IGNIARIUS: Grey-black color, extremely hard texture (hardest common bracket), willow specialist, white rot, very slow growing perennial, rusty-brown context when broken."	"Host: Willow (Salix) primarily, poplar occasionally. Location: Main stem at various heights. Color: Grey-black upper surface, rusty-brown when broken internally. Texture: Extremely hard woody (historically used in fire-starting due to hardness/slow burning). Brackets: Perennial, very slow growing. Decay: White rot of heartwood (slow). Size: Medium (10-25cm). Shape: Hoof-shaped."	"GREY-BLACK hoof on WILLOW stem = Phellinus igniarius. Extremely hard texture (test by trying to break piece off - very difficult). ""Igniarius"" = relating to fire (historical use). Remember: Phellinus (double-L), igniarius (one-G). Willow specialist = key to ID."	phellinus_igniarius_willow
13	YES	Piptoporus betulinus	Birch Polypore	No visible root symptoms	Brackets can appear at base on dead/dying birch	"Annual brackets on stem, round to kidney-shaped, pale grey-brown upper surface smooth, white pore surface underneath"	"Multiple brackets up entire stem length on dead or dying birch, bracket underside pure white"	Brackets on branches of dead birch	"Crown extensively dead or dying (70-90% deadwood), bark peeling, tree in terminal decline"	Birch specialist (betulinus = of birch). Round/kidney-shaped brackets. Pale grey-brown smooth upper surface. White pore surface underneath. Saprophytic colonization of dead/dying birch. Tree extensively dead when brackets appear. Not pathogenic - colonizes after tree already dying from other causes.	"FOMES: Grey but hoof-shaped (not round), perennial, beech host. TRAMETES: Thinner, different hosts. GANODERMA: Brown, base location, different shape. UNIQUE TO PIPTOPORUS: Birch specialist (very specific), round/kidney shape, smooth pale surface, white pores, saprophytic (not pathogenic), appears on dead/dying trees only, annual brackets."	"Host: Birch (Betula) exclusively. Ecology: Saprophytic (colonizes dead/dying birch, not cause of death). Form: Round to kidney-shaped. Color: Pale grey-brown smooth upper, white pore lower. Size: Medium (10-20cm). Season: Annual (appears late summer/autumn). Tree condition: Always on dead/dying birch (extensive deadwood present). Historical: Used medicinally (razor strop fungus)."	"If BIRCH with ROUND brackets ? Piptoporus betulinus. Very host-specific. NOT pathogenic - appears after tree dying from other causes (Armillaria, age, stress). ""Betulinus"" = of birch (Betula). Remember: Piptoporus (one-P at start, one-T), betulinus (one-T). White pores diagnostic."	piptoporus_betulinus_birch
14	YES	Fomitopsis pinicola	Red-Belted Bracket	No visible root symptoms	Brackets can appear at base	"Perennial hoof-shaped brackets, distinctive red-brown band at margin, grey-black old surface, resinous appearance"	"Brackets common on main stem of conifers, red margin diagnostic feature continues"	Brackets on dead branches and stubs	"Crown shows deadwood in lower sections, epicormic growth below live crown on pines"	"Red-brown margin/band on bracket edge diagnostic. Perennial brackets on conifers (pine, spruce, fir). Grey-black older surface with red-brown actively growing margin. Resinous appearance. Causes brown cubical rot. Distinguished from other conifer brackets by red margin."	"GANODERMA RESINACEUM: Brown, resinous, but no red margin, different host range. FOMES: Grey throughout (no red margin), beech host. PHELLINUS: Grey-black throughout (no red margin), willow host. UNIQUE TO FOMITOPSIS: Red-brown margin band (diagnostic), conifer specialist, brown cubical rot, resinous appearance, grey-black old surface contrasts with red margin."	"Host: Conifers (pine, spruce, fir, larch), occasionally broadleaves. Location: Stem, branches, stumps. Color: Red-brown margin (actively growing edge), grey-black old surface. Texture: Hard woody, resinous. Decay: Brown cubical rot. Brackets: Perennial, hoof-shaped. Size: Medium to large (10-30cm). ""Pinicola"" = pine-dweller (conifer association)."	"RED MARGIN on bracket = Fomitopsis pinicola (diagnostic feature). On CONIFERS primarily. ""Pinicola"" = living on pine (conifer host). Remember: Fomitopsis (one-M, one-T), pinicola (one-N, one-C). Red-belted common name describes red margin. Brown cubical rot = brown rot (vs white rot)."	fomitopsis_red_margin
15	YES	Bjerkandera adusta	Smoky Bracket	No visible root symptoms	"Small thin brackets on dead branch stubs in lower crown, pale grey upper surface, smoky-grey pore surface underneath"	"Small brackets on dead stub ends on main stem, thin leathery texture"	Small brackets on dead stubs at pruning cuts higher up	"Numerous small brackets on dead branch stubs throughout crown, tree otherwise healthy"	"Crown overall healthy (70-80% density), deadwood normal for species/age, no abnormal dieback"	"Small thin leathery brackets on DEAD WOOD only. Smoky-grey pore surface diagnostic (adusta = scorched/smoky). Saprophytic - colonizes dead tissue only, NOT pathogenic. Normal in trees with natural deadwood. Distinguished from pathogens by ONLY appearing on confirmed dead stubs, never on living wood."	"GANODERMA: Large woody brackets at base, pathogenic. FOMES: Larger hoof-shaped, on living wood. POLYPORUS: Larger, stalked, scaly. ARMILLARIA: Fans under bark, pathogenic, rhizomorphs. UNIQUE TO BJERKANDERA: Small thin brackets, EXCLUSIVELY on dead wood (never living), smoky-grey pores diagnostic, saprophytic (not pathogenic), normal presence in healthy trees."	"Ecology: Strictly saprophytic (dead wood only). Location: Dead branch stubs, pruning cuts, dead twigs. Color: Pale grey upper, smoky-grey pore surface. Size: Small (2-5cm typical). Texture: Thin, leathery. Pathogenicity: NONE - not a threat to tree health. Significance: Indicates deadwood present (normal in maturing trees), NOT disease. ""Adusta"" = scorched (smoky grey color reference)."	"If brackets ONLY on dead stubs/branches with no living wood invasion ? Bjerkandera adusta (saprophyte). If on living wood ? different fungus (pathogen). Smoky-grey pores diagnostic. Client education important: NOT a disease, normal decomposition. Remember: Bjerkandera (unusual spelling, one-R), adusta (one-D). Saprophyte vs pathogen critical distinction."	bjerkandera_deadwood_saprophyte
16	YES	Ganoderma resinaceum	Resinous Bracket	Root flare shows white rot decay when probed	"Large brackets at base, brown upper surface with distinctive resinous lacquered coating giving shiny appearance, hard woody texture"	"Brackets occasionally on lower stem, resinous coating continues"	No visible symptoms	No visible symptoms	"Crown 75% density, appears healthy despite root decay"	Resinous lacquered coating on bracket surface diagnostic. Brown color. Hard woody perennial brackets. Root and butt rot. Similar to G. australe but distinguished by resinous coating. Oak and beech primarily. White rot of roots causes windthrow risk while crown deceptively healthy.	"GANODERMA AUSTRALE: No resinous coating (matte surface), hoof-shaped. GANODERMA APPLANATUM: Flat shelf (not resinous coating), grey-brown. FOMITOPSIS: Red margin, conifer host, brown rot. UNIQUE TO G. RESINACEUM: Resinous lacquered coating (shiny appearance diagnostic), brown color, perennial, white rot, oak/beech association, similar growth pattern to other Ganoderma but resinous surface separates it."	"Location: Base and root collar primarily. Coating: Resinous lacquer giving shiny appearance (diagnostic vs other Ganoderma). Host: Oak and beech primarily. Decay: White rot of roots. Brackets: Perennial, hard woody. Failure: Windthrow. Size: Large (15-40cm). Crown: Healthy appearance until failure. ""Resinaceum"" = resinous (coating gives name). Less common than G. australe/applanatum but distinctive when present."	"SHINY RESINOUS coating on Ganoderma bracket = G. resinaceum (vs matte surface of G. australe). Feel surface - should feel lacquered/varnished. Remember: resinaceum (one-S, one-C). ""Resinous"" in name describes diagnostic coating. Oak/beech primarily. All Ganoderma cause root rot, separation by bracket characteristics."	ganoderma_resinaceum_shiny
17	YES	Polyporus squamosus	Dryad's Saddle	No visible root symptoms	"Large brackets at base, distinctive scaly cap surface (brown scales on cream background), cream to pale yellow pore surface underneath, bracket on distinct stalk/stem"	"Brackets on lower stem particularly at old wounds or cavities, scaly pattern continues"	Brackets on upper stem at branch stubs or wounds	Large brackets can appear at major branch unions	"Crown shows dieback in sections above bracket locations, localized decline"	Large cream-colored brackets with BROWN SCALES on cap surface diagnostic (squamosus = scaly). Distinctive short lateral stalk. Cream to yellow pores underneath. Annual brackets (summer). Causes white rot at wounds/branch stubs. Edible when very young. Strong mealy smell. Distinguished from other brackets by scaly pattern + stalk + cream pores.	"FOMES: Grey hoof, no scales, no stalk, perennial. GANODERMA: Brown or grey, no scales, no stalk. LAETIPORUS: Yellow/orange, no scales, no stalk. UNIQUE TO POLYPORUS SQUAMOSUS: Scaly cap (brown scales on cream - diagnostic), distinct lateral stalk, cream/yellow pores, large size, mealy smell, annual brackets, causes decay at wounds not base/roots."	"Cap: Large (20-60cm possible), scaly surface (brown scales on cream background). Stalk: Distinctive short lateral stalk (not directly attached to wood). Pores: Cream to pale yellow (large angular pores). Smell: Strong mealy/watermelon rind smell. Season: Annual (late spring/early summer). Decay: White rot at wounds. Edibility: Young brackets edible (tough when mature). ""Squamosus"" = scaly. ""Dryad's saddle"" = large saddle-like form."	"SCALY CAP + SHORT STALK = Polyporus squamosus (only common bracket with this combination). Large size, cream color, mealy smell all support ID. Remember: Polyporus (one-Y), squamosus (one-M). Scaly pattern unmistakable in field. Annual = appears late spring, grows fast, degrades by autumn."	polyporus_squamosus_scaly
18	YES	Phellinus robustus	Robust Bracket	No visible root symptoms	"Large perennial brackets at base, grey-brown to rusty-brown rough upper surface, very hard texture, bracket edge rusty-orange when actively growing"	Brackets occasionally extend to lower stem base	No visible symptoms	No visible symptoms	Crown shows thinning and dieback in advanced stages	"Large rough perennial brackets at base. Grey-brown to rusty-brown color. Very hard texture. Rusty-orange active growing edge. Oak specialist. White rot of heartwood at base and lower stem. Distinguished from Ganoderma by rough texture, rusty tones, extremely hard brackets. Less common than Ganoderma but significant on mature oaks."	"GANODERMA: Smooth surface (not rough), brown or grey-brown, zoned or flat form. PHELLINUS IGNIARIUS: Grey-black, willow host (not oak), stem location. INONOTUS: Hairy surface, rust-brown, ash host, annual. UNIQUE TO PHELLINUS ROBUSTUS: Rough texture, rusty-orange growing edge, oak specialist, extremely hard, perennial, white rot of base/lower stem, robust size gives species name."	"Host: Oak (Quercus) primarily, occasionally other broadleaves. Location: Base and lower stem. Texture: Very hard (extremely dense wood), rough surface. Color: Grey-brown to rusty-brown, rusty-orange active edge. Size: Large (can exceed 30cm), robust (gives name). Decay: White rot of heartwood. Brackets: Perennial, slow growing. ""Robustus"" = robust/strong (refers to size and hard texture)."	"ROUGH RUSTY brackets on OAK base = likely Phellinus robustus. Very hard texture (similar to P. igniarius hardness). Rusty-orange growing edge diagnostic. Remember: Phellinus (double-L), robustus (one-B). Less common than Ganoderma on oak but distinctive. Rough texture + rusty tones + oak host = combination for ID."	phellinus_robustus_oak
19	YES	Heterobasidion annosum	Root Rot / Butt Rot	"White mycelial mat visible under bark at root collar of conifers when lifted, resinous smell, resin soaking into surrounding soil"	"Irregular shelf-like fruiting body at base of conifer, pale cream/white pore surface on underside, brown-grey irregular upper surface, hard and woody"	"White resinous decay visible in basal wood when probed, no obvious external symptoms on bark surface"	No visible symptoms	No visible symptoms	"Crown thinning and yellowing in Scots pine, needle drop, resin flow on stem — tree declining from below while upper crown still appears partially active"	The white pore surface and cream-white irregular bracket at the BASE OF CONIFERS is the key combination. No rhizomorphs (unlike Armillaria). No amber droplets. Causes devastating butt and root rot in conifer plantations — most economically destructive forest pathogen in Europe. Resinous smell and resin-soaked soil are supporting clues.	"ARMILLARIA: Rhizomorphs present, white mycelial fans, affects broadleaves and conifers. PHAEOLUS: Yellow-green active margin, annual, spongy texture. SPARASSIS: Cauliflower form, no shelf bracket. UNIQUE TO HETEROBASIDION: White/cream irregular pore surface at conifer base, no rhizomorphs, resin-soaking diagnostic, devastating plantation pathogen, spread via root contact and airborne spores to fresh stumps."	"Host: Conifers primarily (Scots pine, Norway spruce, Douglas fir, larch). Spread: Root-to-root contact AND airborne spores colonising fresh cut stumps — stump treatment mandatory after felling in infected stands. Decay: White rot of butt and roots. Risk: Catastrophic in plantations — can render entire stands unstable. Detection: Often no external symptoms until advanced decay. Legal: Stump treatment legally required in some forestry contexts."	"WHITE irregular bracket/crust at CONIFER BASE = Heterobasidion annosum until proven otherwise. No rhizomorphs separates it from Armillaria. CONIFER host is the first filter — if broadleaf, look elsewhere. Remember: Heterobasidion (three syllables: Het-er-o-bas-id-i-on), annosum (one-N, one-S). Stump treatment knowledge likely to appear in exam context."	heterobasidion_white_crust
20	YES	Phaeolus schweinitzii	Dyer's Mazegill	"Root plate shows brown cubical rot when probed — wood fractures in cube-like blocks, structural roots compromised"	"Large annual bracket at base, velvety surface, yellow-green to rust-brown coloring with distinctive YELLOW-GREEN actively growing outer margin, spongy and soft when fresh"	"Bracket can extend onto lower stem, same yellow-green margin visible, degrades rapidly — fibrous remains from previous years may be visible"	No visible symptoms	No visible symptoms	"Crown shows progressive thinning, needle drop in conifers, deadwood in lower crown sections — tree declining from root compromise"	The YELLOW-GREEN growing margin on a large spongy annual bracket at the base of CONIFERS is unique — no other common fungus has this combination. Soft and spongy when fresh (can be pressed with finger). Causes brown cubical rot (wood fractures in cubes — not stringy like white rot). Degrades to fibrous brown remains over winter — old bracket remains are a supporting clue.	"MERIPILUS: Rosette of overlapping brackets, bruises brown-black, BROADLEAF not conifer, no yellow-green margin. SPARASSIS: Cauliflower form, no shelf, no yellow-green. HETEROBASIDION: White pore surface, hard woody, no yellow-green margin. UNIQUE TO PHAEOLUS: Yellow-green active margin (diagnostic — no other common fungus), conifer specialist, spongy annual bracket, brown cubical rot, degrades to fibrous rust-brown remains."	"Host: Conifers (Scots pine, larch, Douglas fir, spruce). Location: Root collar and base. Texture: Soft and spongy when fresh — presses like a sponge. Annual: Appears late summer/autumn, degrades over winter. Remains: Previous year fibrous brown remains often visible near base. Rot type: Brown cubical rot — wood splits along and across grain in cube-like blocks. Color progression: Yellow-green when young → rust-brown when old. Named for mycologist Lewis David de Schweinitz."	"YELLOW-GREEN MARGIN on spongy bracket at CONIFER BASE = Phaeolus schweinitzii. If the bracket is soft and spongy (press it) and growing on a conifer = very likely Phaeolus. Press test useful in field. Remember: Phaeolus (Ph-ae-ol-us), schweinitzii (double-I at end — Schweinitz-ii). Yellow-green is the one unmistakable feature — learn the color."	phaeolus_yellow_green
21	YES	Sparassis crispa	Cauliflower Fungus	"Root plate shows brown cubical rot — wood fractures along grain, roots structurally compromised in advanced cases"	"Large annual fruiting body at base — PALE CREAM to yellow, multi-lobed wavy fronds forming a cauliflower or brain-like mass, no bracket or shelf form, base attached to roots or root collar"	"Lobed frond mass can reach 50cm diameter, entirely unlike any bracket fungus, soft fleshy texture when fresh"	No visible symptoms	No visible symptoms	"Crown thinning in Scots pine especially — slow progressive decline as root rot advances over years"	The cauliflower-like lobed frond structure is COMPLETELY UNIQUE — there is no other common fungus that looks like this at the base of a tree. Cannot be confused with any bracket. Pale cream/yellow multi-lobed mass always at the base of conifers (especially Scots pine). Causes brown cubical rot of roots. Edible when young but never relevant to tree inspection.	"ALL BRACKETS: Sparassis has NO bracket or shelf form whatsoever — entirely different morphology. MERIPILUS: Overlapping fan-shaped brackets (not lobed fronds), broadleaf host. PHAEOLUS: Shelf bracket form, yellow-green margin, conifer but bracket shaped. UNIQUE TO SPARASSIS: Cauliflower/brain-like lobed frond mass — morphologically unique, impossible to confuse if seen, conifer specialist (Scots pine primarily), brown cubical rot."	"Host: Scots pine primarily, occasionally other conifers. Morphology: Unlike any bracket — multi-lobed wavy fronds in a pale cream mass. Size: Large (can exceed 50cm diameter). Annual: Appears late summer/autumn. Texture: Soft fleshy when fresh, becomes tough and dark with age. Rot type: Brown cubical rot of roots and butt. Edibility: Edible when young (culinary value irrelevant to inspection). Name: Crispa = curled/wavy (describes frond form). Risk: Significant — root compromise, windthrow risk."	"CAULIFLOWER or BRAIN-shaped pale cream mass at CONIFER BASE = Sparassis crispa. Only answer possible — morphology is unique. No exam trick, no near-miss — if it looks like a cauliflower at the base of a pine, it is Sparassis. Remember: Sparassis (double-S, one-R), crispa (one-S, one-P — means curled). Easy marks if you learn the shape."	sparassis_cauliflower
22	YES	Trametes versicolor	Turkey Tail	No visible root symptoms — saprophyte on dead wood only	"Thin bracket clusters on dead wood at base, concentric coloured zones (blue-grey, brown, cream, green-blue) in the same bracket — multicoloured pattern diagnostic"	"Thin brackets on dead stubs at stem base or dead lower stem wood, velvet surface on upper side, white circular pores on underside"	"Thin multicoloured brackets on dead branch stubs higher in crown"	"Numerous small thin brackets on dead branch stubs throughout crown — tree otherwise healthy or in normal decline"	"Crown healthy or normally aged — deadwood expected for species and age. No crown decline caused by Trametes."	Thin brackets with MULTIPLE COLOUR ZONES in blue, grey, brown, cream and sometimes green-blue in concentric rings on the SAME bracket — no other common fungus has this multicoloured zoning pattern. Strictly saprophytic — only ever on confirmed dead wood, never on living tissue. Common, widespread, and often alarming to clients who assume it indicates disease. Important for client communication.	"GANODERMA: Brown or grey, thick woody brackets, at base, pathogenic. BJERKANDERA: Smoky-grey pores, thin but single grey-brown tone (not multicoloured). FOMES: Grey hoof-shaped, hard woody, not multicoloured. UNIQUE TO TRAMETES: Multicoloured concentric zones (blue, grey, brown, cream — often in same bracket), thin and flexible (not woody), white circular pore surface, STRICTLY saprophytic on dead wood, very common in healthy trees with natural deadwood."	"Ecology: Strictly saprophytic — colonises dead wood only, never pathogenic. Location: Dead branch stubs, pruning wounds, dead stems. Zones: Multiple colours in concentric rings — same bracket may show blue-grey, brown, cream, green-blue. Texture: Thin, flexible, velvety upper surface. Pores: White, small, circular. Significance: None — indicates deadwood (normal in maturing trees). Client value: Very commonly misidentified as disease — important to communicate it is not a threat. Common name from turkey tail feather resemblance."	"If THIN MULTICOLOURED BRACKETS on dead wood = Trametes versicolor. The multiple colour zones in one bracket are diagnostic — no other common species does this. ALWAYS check it is on DEAD wood — if on living tissue, reconsider. Important for client reassurance: NOT a disease. Remember: Trametes (one-M, one-T), versicolor (versi = varied, color = colour — the name describes it perfectly)."	trametes_multicolour_zones
23	YES	Daedaleopsis confragosa	Blushing Bracket	No visible root symptoms — saprophyte and weak pathogen on dead and dying wood	"Thin to medium brackets on dead or dying wood at base, grey-brown to reddish-brown upper surface with concentric zones, white to pink pore surface underneath"	"Brackets on lower stem, particularly at old wounds — pore surface elongated/maze-like (not circular)"	"Brackets at branch stubs and old wounds higher on stem"	"Brackets on major branches at attachment points and old pruning wounds"	"Crown shows localised dieback above bracket locations on dying branches — not a primary crown pathogen"	The BLUSHING reaction — pore surface turns PINK to RED when rubbed or bruised — is UNIQUE among common brackets. Test in field: rub the white pore surface firmly with a finger; if it blushes pink, it is Daedaleopsis. Maze-like elongated pores (daedaloid — hence the name) on the underside rather than circular. Willow and alder specialist primarily.	"TRAMETES: Multicoloured zones, circular pores, thin, does NOT blush pink. GANODERMA: Hard woody, thick, no blushing. PHELLINUS IGNIARIUS: Grey-black, extremely hard, willow host but no blushing. BJERKANDERA: Smoky-grey pores, thin, no blushing. UNIQUE TO DAEDALEOPSIS: Blushing reaction (pore surface turns pink/red when rubbed — diagnostic test), maze-like elongated pores, willow and alder host, medium thin brackets with zoned brown-red upper surface."	"Host: Willow (Salix) and alder (Alnus) primarily, occasionally other broadleaves. Location: Wounds, dead branches, dying stems. Blushing test: Rub pore surface firmly — pink/red colour develops within seconds (diagnostic field test). Pores: Elongated maze-like (daedaloid) — between circular and slot-like. Ecology: Weak pathogen and saprophyte — accelerates decline of already stressed trees. Upper surface: Zoned, grey-brown to reddish-brown. Name: Daedaleopsis from Daedalus (labyrinth) — refers to maze-like pore pattern."	"RUB THE PORE SURFACE — if it turns PINK = Daedaleopsis confragosa. This is the diagnostic field test and the most memorable feature. Willow or alder host supports the ID. Remember: Daedaleopsis (Daed-al-e-op-sis — five syllables, double-O before psis), confragosa (one-F, one-G). The blush test is the hook — do it in the field, teach it to clients."	daedaleopsis_blushing														
