id	active	fungusLatinName	fungusCommonName	clueRoots	clueButt	clueLowerStem	clueUpperStem	clueBranches	clueFoliage	whyThisFungus	keyDifferentiators	clinicalNotes	examTip	imageRef
11	YES	Fistulina hepatica	Beefsteak Fungus	No visible root symptoms - primary decay is of butt and stem heartwood	Annual brackets at base and lower stem, deep red-brown colour resembling raw meat, soft fleshy texture, exudes red juice when cut	Brackets on lower stem particularly in cavities and at old wounds, bleeding appearance when fresh	Brackets occasionally at greater height on stem	Brackets rare on branches	Crown may appear relatively healthy in early stages - shows reduced vigour and stress symptoms as heartwood decay progresses	Deep red-brown brackets exuding red juice when cut is strongly indicative - no other common bracket fungus bleeds in this way. Soft fleshy tongue-like form. Brown cubical rot progresses slowly. Predominantly associated with sweet chestnut and oak. Cavity colonisation common.	GANODERMA: Brown but hard woody texture, no red juice, white rot not brown rot. LAETIPORUS: Yellow to orange not red-brown, no red juice. INONOTUS HISPIDUS: Rust-brown, hairy surface, no juice, ash host, branch location. DISTINGUISHING FISTULINA: Exudes red juice when cut (unique among common brackets), soft fleshy tongue-like texture, brown cubical rot, predominantly sweet chestnut and oak, cavity colonisation, hepatica = liver-like.	Host association: Predominantly Castanea sativa and Quercus spp. Primary infection court: Butt, stem base and cavities - commonly enters via old wounds and stem damage. Decay type: Brown rot - preferential cellulose depolymerisation leaving cuboid lignin-rich residue. Notably slower progression than most other brown rot fungi. Structural implication: Progressive reduction in compressive strength of buttress and lower stem heartwood - rate of structural compromise is relatively slow. Failure mode: Butt shear or stem failure at zones of advanced decay. Progression: Slow - host trees may survive for decades with established infection. Cavity colonisation: Commonly associated with the formation and enlargement of stem cavities.	If exam mentions bleeding red juice or beefsteak appearance = Fistulina hepatica. No other common bracket bleeds. Hepatica = liver-like (appearance and texture). Sweet chestnut association is strong. Remember: Fistulina one-S, hepatica one-T. Cut it and it bleeds - that is the field test.	fistulina_beefsteak_bleeding
12	YES	Phellinus igniarius	Willow Bracket	No visible root symptoms - primary decay is of stem heartwood	Brackets occasionally at base but more typically higher on stem	Perennial hoof-shaped brackets on stem, grey-black upper surface, extremely hard woody texture, rusty-brown colour when broken internally	Multiple brackets at various stem heights, hard woody texture consistent throughout	Brackets can appear on larger branches	Progressive crown thinning and reduced vigour as heartwood decay extends - willow characteristically produces epicormic growth in response to stress	Grey-black hoof-shaped perennial brackets with extremely hard texture predominantly on Salix. White rot of heartwood. Perennial brackets grow very slowly and add layers annually. Darker colour and harder texture distinguish from Fomes fomentarius. The hardest common bracket fungus.	FOMES FOMENTARIUS: Lighter grey not grey-black, predominantly beech not willow, similar hoof form. GANODERMA: Brown colour, base location predominant, brown spore deposits. INONOTUS HISPIDUS: Rust-brown not grey-black, hairy surface, ash association. DISTINGUISHING PHELLINUS IGNIARIUS: Grey-black colour (darker than Fomes), extremely hard texture (hardest common bracket), predominantly willow, white rot of heartwood, very slow growing perennial, rusty-brown internally when broken.	Host association: Predominantly Salix spp., occasionally Populus. Primary infection court: Stem wounds, branch scars and branch attachment points. Decay type: White rot - simultaneous degradation of lignin and cellulose producing pale fibrous residue within heartwood. Structural implication: Progressive reduction in residual wall thickness of heartwood with increasing risk of stem failure at bracket locations. Failure mode: Stem fracture at zones of advanced heartwood decay. Bracket growth: Perennial and very slow - bracket age may be considerable, indicating long-established infection. Texture: Extremely dense woody - historically used in fire-starting due to hardness and slow combustion.	GREY-BLACK hoof on WILLOW STEM = Phellinus igniarius. Hardest common bracket - try to break a piece off. Igniarius = relating to fire (historical use). Remember: Phellinus double-L, igniarius one-G. Willow host is the key identification filter.	phellinus_igniarius_willow
13	YES	Fomitopsis betulina	Birch Polypore	No visible root symptoms - saprophytic coloniser of dead and dying tissue, not a primary root pathogen	Brackets can appear at base on dead or dying birch - rounded form at various heights on stem	Annual brackets on stem, round to kidney-shaped, pale grey-brown smooth upper surface, white pore surface on underside	Multiple brackets throughout stem length on dead or dying birch - white underside diagnostic	Brackets on branches of dead birch	Crown extensively dead or in terminal decline with significant deadwood - bark peeling in characteristic sheets	Birch specialist (betulina = of birch). Round to kidney-shaped annual brackets with smooth pale upper surface and pure white pore surface. Saprophytic coloniser - present on trees already dying or dead from other causes. Not a primary pathogen. Very host-specific.	FOMES FOMENTARIUS: Grey but hoof-shaped not round, perennial, predominantly beech. TRAMETES VERSICOLOR: Thinner, multicoloured zones, on dead wood of multiple species. GANODERMA: Brown colour, base location, hard woody perennial, different form. DISTINGUISHING FOMITOPSIS BETULINA: Birch association (very specific), round to kidney-shaped form, smooth pale upper surface, white pore surface, saprophytic coloniser not primary pathogen, appears on dead or dying trees, annual brackets.	Host association: Betula spp. exclusively among common associations. Ecology: Saprophytic - colonises dead and dying birch, contributing to decomposition. Not the primary cause of host death. Primary infection court: Not applicable as primary pathogen - enters dead and dying tissue. Decay type: Brown rot - preferential cellulose depolymerisation of dead birch tissue. Structural implication: Accelerates structural degradation of already dead or dying trees - bracket presence indicates advanced host decline. Assessment note: Bracket presence confirms tree is dead or in terminal decline - not an incidental finding. Historical: Used medicinally and as razor strop - hence alternative common name.	BIRCH with ROUND brackets = Fomitopsis betulina. Very host-specific. NOT pathogenic - appears after tree is already dying from other causes. Current accepted name is Fomitopsis betulina - betulina from Betula (birch). White pores underneath are diagnostic. Saprophyte - always note this distinction in reports.	fomitopsis_betulina_birch
14	YES	Fomitopsis pinicola	Red-Belted Bracket	No visible root symptoms - primarily a stem and branch pathogen	Brackets can appear at base but more commonly on stem	Perennial hoof-shaped brackets, distinctive red-brown band at active growing margin, grey-black older surface with resinous appearance	Brackets common on main stem of conifers, red margin diagnostic feature consistent throughout	Brackets on dead branches and stubs	Crown shows progressive deadwood development in lower sections - epicormic growth below live crown on affected pines	Red-brown margin at the actively growing bracket edge is characteristic and separates Fomitopsis pinicola from other common conifer brackets. Perennial hoof-shaped brackets on conifers. Grey-black older surface contrasting with the red-brown active margin. Resinous appearance. Brown rot.	GANODERMA RESINACEUM: Brown with resinous lacquered surface, no red margin, predominantly broadleaf. FOMES FOMENTARIUS: Grey throughout with no red margin, predominantly beech. PHELLINUS IGNIARIUS: Grey-black throughout with no red margin, willow host. DISTINGUISHING FOMITOPSIS PINICOLA: Red-brown margin at actively growing edge (unique among common conifer brackets), conifer specialist, brown rot, resinous appearance, grey-black older surface contrasting with red margin.	Host association: Predominantly conifers - Pinus, Picea, Abies and Larix. Occasionally recorded on broadleaves. Primary infection court: Stem wounds, branch scars and dead branch stubs. Decay type: Brown rot - preferential cellulose depolymerisation leaving cuboid lignin-rich residue with characteristic cubic cracking. Structural implication: Progressive reduction in compressive strength of stem heartwood with increasing risk of stem fracture at zones of advanced decay. Failure mode: Stem fracture at areas of concentrated decay. Brackets: Perennial - new growth adds red-brown margin annually over grey-black older tissue. Resinous appearance distinctive.	RED MARGIN on bracket on CONIFERS = Fomitopsis pinicola. The red margin is diagnostic and unlike any other common conifer bracket. Pinicola = living on pine (conifer host). Remember: Fomitopsis one-M and one-T, pinicola one-N and one-C. Red-belted common name directly describes the margin.	fomitopsis_red_margin
15	YES	Bjerkandera adusta	Smoky Bracket	No visible root symptoms - strictly saprophytic, not a root pathogen	Small thin brackets on confirmed dead branch stubs in lower crown, pale grey upper surface, smoky-grey pore surface underneath	Small brackets on dead stub ends on main stem, thin leathery texture throughout	Small brackets on confirmed dead stubs at pruning cuts higher up	Numerous small thin brackets on dead branch stubs throughout crown - tree otherwise in normal condition for age and species	Crown overall healthy and normal for species and age - presence of dead stubs is normal in maturing trees and not indicative of decline	Small thin leathery brackets exclusively on confirmed dead tissue. Smoky-grey pore surface (adusta = scorched or smoky). Strictly saprophytic - colonises dead tissue only and is not associated with pathogenic activity. Normal finding in trees with natural deadwood. Reliably separated from pathogens by restriction to confirmed dead tissue.	GANODERMA: Large woody brackets at base on living tissue, pathogenic. FOMES: Larger hoof-shaped, on living heartwood. CERIOPORUS SQUAMOSUS: Larger, distinct lateral stalk, scaly cap. ARMILLARIA: Mycelial fans and rhizomorphs, pathogenic, on living tissue. DISTINGUISHING BJERKANDERA: Small thin leathery brackets exclusively on dead tissue (never on living wood), smoky-grey pore surface, strictly saprophytic, normal presence in healthy maturing trees.	Ecology: Strictly saprophytic - colonises confirmed dead tissue only, with no pathogenic activity recorded. Primary substrate: Dead branch stubs, pruning wounds, dead stems and twigs. Colour: Pale grey upper surface, smoky-grey pore surface (adusta = scorched). Form: Small (2-5cm typical), thin and leathery. Structural implication: None - presence indicates natural deadwood accumulation appropriate to tree age and species. Not associated with decay of living tissue. Assessment note: Commonly mistaken for pathogenic brackets by non-specialists - correct identification has significant implications for tree management recommendations. Important for accurate client communication.	If brackets are ONLY on confirmed dead stubs with no living wood invasion = Bjerkandera adusta (saprophyte). If on living wood = reconsider. Smoky-grey pores are diagnostic. Important for client communication - NOT a disease. Remember: Bjerkandera unusual spelling one-R, adusta one-D. Saprophyte vs pathogen is the critical distinction here.	bjerkandera_deadwood_saprophyte
16	YES	Ganoderma resinaceum	Resinous Bracket	Root flare excavation reveals white rot in structural roots - soft fibrous pale residue, anchorage integrity reduced	Large brackets at base, brown upper surface with distinctive resinous lacquered coating giving a shiny varnished appearance, hard woody texture	Brackets occasionally on lower stem, resinous lacquered coating consistent	No visible symptoms	No visible symptoms	Crown may appear relatively healthy despite significant root compromise - typical of Ganoderma pattern with maintained vascular function until late root loss	Resinous lacquered coating on the upper bracket surface is characteristic and distinguishes G. resinaceum from matte-surfaced Ganoderma species. Brown bracket colour. Hard woody perennial. Root and butt rot with maintained crown condition. Predominantly oak and beech.	GANODERMA AUSTRALE: No resinous coating - matte surface, hoof-shaped. G. australe surface feels rough and matte where G. resinaceum feels lacquered. GANODERMA APPLANATUM: Flat shelf form, grey-brown matte surface, no resinous coating. FOMITOPSIS PINICOLA: Red margin, conifer host, brown rot. DISTINGUISHING G. RESINACEUM: Resinous lacquered coating (shiny, varnished feel - diagnostic versus other Ganoderma), brown colour, perennial, white rot, predominantly oak and beech.	Host association: Predominantly Quercus spp. and Fagus sylvatica. Primary infection court: Structural roots and root collar. Decay type: White rot - simultaneous degradation of lignin and cellulose producing pale fibrous residue with progressive reduction in root structural integrity. Tube stratification: Annual pore layers visible in cross section. Structural implication: Progressive reduction in anchorage stability with increased susceptibility to root plate rotation under dynamic wind loading. Failure mode: Windthrow predominant. Bracket surface: Resinous lacquered coating is the key separation from other Ganoderma - feel the surface. Less commonly recorded than G. australe and G. applanatum.	SHINY RESINOUS coating on Ganoderma bracket = G. resinaceum. Matte surface = G. australe or G. applanatum. Feel the surface - it should feel lacquered or varnished. Remember: resinaceum one-S and one-C. Resinous in the name describes the diagnostic feature directly.	ganoderma_resinaceum_shiny
17	YES	Cerioporus squamosus	Dryad's Saddle	No visible root symptoms - primarily a wound and stem pathogen not a root pathogen	Large brackets at base, distinctive brown scales on cream background on cap surface, cream to pale yellow pore surface on underside, bracket attached by distinct lateral stalk	Brackets on lower stem at old wounds, cavities and branch scars - scaly cap pattern and lateral stalk consistent	Brackets on upper stem at branch stubs and old wounds	Large brackets at major branch unions	Crown shows localised dieback above bracket locations - reduced vigour in affected sectors	Large cream-coloured brackets with brown scales on cap surface (squamosus = scaly) combined with a distinct lateral stalk is strongly indicative - no other common bracket has this combination. Cream to yellow pore surface. Annual brackets in late spring and early summer. Strong mealy odour. White rot at wound locations.	FOMES: Grey hoof-shaped, no scales, no lateral stalk, perennial, base location. GANODERMA: Brown or grey, no scales, no lateral stalk, base location, perennial. LAETIPORUS: Yellow to orange, no scales, no lateral stalk. DISTINGUISHING CERIOPORUS SQUAMOSUS: Scaly cap (brown scales on cream background), distinct lateral stalk (no other common bracket has this), cream to yellow pores, large size, mealy odour, annual, wound and stem location not base.	Host association: Wide broadleaf range - Fraxinus, Ulmus, Acer, Quercus and others. Primary infection court: Old wounds, branch scars, cavities and pruning cuts on stem and major branches. Decay type: White rot - simultaneous degradation of lignin and cellulose at wound sites, producing pale fibrous residue. Structural implication: Reduction in residual strength of stem and branch tissue at wound locations, increasing risk of failure at bracket sites. Failure mode: Stem or branch failure at zones of concentrated decay. Annual: Bracket degrades by autumn - presence of pale discoloured areas on stem may indicate prior fruiting. Odour: Strong mealy to watermelon rind smell - useful field confirmation. Taxonomy: Current accepted name is Cerioporus squamosus, previously Polyporus squamosus.	SCALY CAP and SHORT LATERAL STALK = Cerioporus squamosus - only common bracket with this combination. Cream pores and mealy smell support the ID. Current accepted name is Cerioporus squamosus. Remember: squamosus one-M (scaly - the name describes the most obvious feature). Annual - appears late spring, grows fast, degrades by autumn.	cerioporus_squamosus_scaly
18	YES	Phellinus robustus	Robust Bracket	No visible root symptoms - primary decay is of heartwood at butt and lower stem	Large perennial brackets at base and lower stem, grey-brown to rusty-brown rough upper surface, extremely hard woody texture, rusty-orange at actively growing margin	Brackets occasionally extend up lower stem	No visible symptoms	No visible symptoms	Crown thinning and reduced vigour in advanced stages as heartwood decay progresses	Large rough-surfaced perennial brackets predominantly on oak with extremely hard texture and rusty-orange growing margin. White rot of heartwood at base and lower stem. Distinguished from Ganoderma by rough surface texture, rusty tones and extreme hardness. Less commonly recorded than Ganoderma but significant on mature oak.	GANODERMA: Smooth matte surface not rough, brown or grey-brown zoned or flat form, base location. PHELLINUS IGNIARIUS: Grey-black, predominantly willow not oak, stem location. INONOTUS HISPIDUS: Hairy surface, rust-brown, ash association, annual, branch and wound location. DISTINGUISHING PHELLINUS ROBUSTUS: Rough surface texture (not smooth like Ganoderma), rusty-orange actively growing margin, predominantly oak, extremely hard texture, perennial, white rot of butt and lower stem.	Host association: Predominantly Quercus spp., occasionally other broadleaves. Primary infection court: Stem base and lower stem, commonly associated with old wounds and stem damage. Decay type: White rot - simultaneous degradation of lignin and cellulose producing pale fibrous residue in heartwood. Structural implication: Progressive reduction in residual wall thickness and compressive strength of buttress and lower stem heartwood, increasing risk of stem failure under bending and compressive loads. Failure mode: Stem failure at zones of advanced heartwood decay. Bracket characteristics: Perennial, slow growing, extremely hard - among the hardest brackets recorded. Robustus = robust or strong, referring to bracket size and hardness.	ROUGH RUSTY brackets on OAK base = Phellinus robustus. Rusty-orange growing margin and extreme hardness are the key features. Remember: Phellinus double-L, robustus one-B. Less common than Ganoderma on oak but distinctive once known. Rough texture plus rusty tones plus oak host = the combination.	phellinus_robustus_oak
19	YES	Heterobasidion annosum	Root Rot and Butt Rot	White mycelial mat visible under bark at root collar of conifers when lifted, resinous odour, resin-soaked soil around base	Irregular shelf-like to crust-like fruiting body at base of conifer, pale cream to white pore surface on underside, brown-grey irregular upper surface, hard woody texture	White resinous decay visible in basal wood when probed - external bark may show no obvious symptoms	No visible symptoms	No visible symptoms	Crown thinning and yellowing with needle drop in Scots pine - progressive decline from below while upper crown remains partially active	White to cream pore surface on an irregular shelf or crust at the BASE OF CONIFERS is strongly indicative of Heterobasidion annosum. Absence of rhizomorphs separates from Armillaria. Resinous odour and resin-soaked soil at base are supporting observations. Most economically significant forest pathogen in Europe.	ARMILLARIA MELLEA: Rhizomorphs present, white mycelial fans, affects broadleaves and conifers - no rhizomorphs in Heterobasidion. PHAEOLUS SCHWEINITZII: Yellow-green active margin, annual fruiting, spongy texture. SPARASSIS CRISPA: Cauliflower-like lobed frond form, no shelf bracket. DISTINGUISHING HETEROBASIDION: White to cream irregular pore surface at conifer base, no rhizomorphs, resinous odour and soaking diagnostic, conifer specialist, spread via both root contact and airborne spore colonisation of fresh stumps.	Host association: Predominantly conifers - Pinus sylvestris, Picea abies, Pseudotsuga menziesii and Larix spp. Spread: Dual pathway - root-to-root contact and airborne spore colonisation of fresh-cut stumps. Stump treatment with urea or biological agents is mandatory after felling in infected stands in many forestry contexts. Decay type: White rot - simultaneous degradation of lignin and cellulose in butt and root tissue. Structural implication: Progressive reduction in anchorage stability and butt integrity, with risk of root plate rotation and butt shear under dynamic loading. Detection: Often no external crown symptoms until decay is advanced - makes detection during routine inspection unreliable. Risk: Catastrophic in plantation settings - can affect entire stands.	WHITE irregular bracket or crust at CONIFER BASE = Heterobasidion annosum until proven otherwise. No rhizomorphs separates it from Armillaria - that is the primary field separation. Conifer host is the first filter. Remember: Heterobasidion - Het-er-o-bas-id-i-on - seven syllables. Annosum has double-N: a-nn-o-sum. Stump treatment context may appear in exam questions.	heterobasidion_white_crust
20	YES	Phaeolus schweinitzii	Dyer's Mazegill	Root plate reveals brown cubical rot when probed - wood fractures in cube-like blocks with characteristic cubic cracking, structural roots compromised	Large annual bracket at base, velvety surface, yellow-green to rust-brown colouring with distinctive yellow-green actively growing outer margin, spongy and soft when fresh	Bracket can extend onto lower stem, yellow-green margin visible, degrades rapidly - fibrous rust-brown remains from previous years may be present near base	No visible symptoms	No visible symptoms	Progressive crown thinning and reduced vigour, needle drop in conifers, deadwood developing in lower crown - tree declining from root compromise upward	The yellow-green actively growing margin on a large spongy annual bracket at the base of CONIFERS is strongly indicative - no other common bracket fungus produces this colour margin. Soft spongy texture when fresh is a reliable field test. Causes brown cubical rot. Fibrous rust-brown remains from previous seasons may persist near base as supporting evidence.	MERIPILUS GIGANTEUS: Rosette of overlapping brackets, bruises brown to black, broadleaf host not conifer, no yellow-green margin. SPARASSIS CRISPA: Cauliflower-like lobed frond form, no shelf bracket, no yellow-green. HETEROBASIDION ANNOSUM: White to cream pore surface, hard woody, no yellow-green margin. DISTINGUISHING PHAEOLUS: Yellow-green active margin (unique among common brackets), conifer specialist, spongy annual bracket, brown cubical rot, degrades to fibrous rust-brown remains.	Host association: Predominantly conifers - Pinus sylvestris, Larix spp., Pseudotsuga menziesii and Picea spp. Primary infection court: Structural roots and root collar. Decay type: Brown rot - preferential cellulose depolymerisation leaving cuboid lignin-rich residue with characteristic cubic cracking along and across the grain. Structural implication: Progressive reduction in anchorage stability and root cross-sectional integrity, with increased risk of root plate rotation under dynamic loading. Failure mode: Windthrow predominant. Annual fruiting: Bracket appears late summer to autumn, degrades over winter. Previous season remains (fibrous rust-brown tissue) often visible near base. Colour progression: Yellow-green when actively growing, progressing to rust-brown with age.	YELLOW-GREEN MARGIN on spongy bracket at CONIFER BASE = Phaeolus schweinitzii. Press test - if soft and spongy on a conifer it is very likely Phaeolus. Yellow-green is the unmistakable feature. Remember: Phaeolus - Ph-ae-ol-us, schweinitzii has double-I at end (Schweinitz-ii). Named after mycologist Lewis David de Schweinitz.	phaeolus_yellow_green
21	YES	Sparassis crispa	Cauliflower Fungus	Root plate reveals brown cubical rot - wood fractures along and across grain producing cuboid blocks, structural roots progressively compromised	Large annual fruiting body at base - pale cream to yellow, multi-lobed wavy fronds forming a cauliflower or brain-like mass, base attached to roots or root collar, no bracket or shelf form	Lobed frond mass can reach 50cm in diameter, entirely unlike any bracket fungus, soft fleshy texture when fresh	No visible symptoms	No visible symptoms	Progressive crown thinning and reduced vigour in Scots pine particularly - slow decline as root integrity is lost over successive seasons	The cauliflower-like lobed frond structure is morphologically unique among common tree-associated fungi - no other species produces this form at the base of a tree. Pale cream to yellow multi-lobed mass always at the base of conifers. Causes brown cubical rot of roots. Cannot be confused with any bracket fungus.	ALL BRACKET FUNGI: Sparassis has no bracket or shelf form - entirely different morphology. MERIPILUS GIGANTEUS: Overlapping fan-shaped brackets not lobed fronds, broadleaf host. PHAEOLUS SCHWEINITZII: Shelf bracket form with yellow-green margin, conifer but bracket-shaped not frond. DISTINGUISHING SPARASSIS: Cauliflower or brain-like lobed frond mass (morphologically unique - impossible to confuse if seen), conifer specialist with Scots pine predominant, brown cubical rot, pale cream colour.	Host association: Predominantly Pinus sylvestris, occasionally other conifers. Primary infection court: Structural roots and root collar - commonly enters via root damage or natural infection pathways. Decay type: Brown rot - preferential cellulose depolymerisation leaving cuboid lignin-rich residue with cubic cracking. Structural implication: Progressive reduction in root anchorage integrity with increased susceptibility to root plate rotation under dynamic loading. Failure mode: Windthrow predominant. Annual fruiting: Appears late summer to autumn, soft when fresh, becomes tough and darkens with age. Name: Crispa = curled or wavy, describing the frond form. Edibility: Edible when young - not relevant to assessment context.	CAULIFLOWER or BRAIN-shaped pale cream mass at CONIFER BASE = Sparassis crispa. Only possible answer - morphology is unique. If it looks like a cauliflower at the base of a pine it is Sparassis. No other common fungus looks like this. Remember: Sparassis double-S and one-R, crispa one-S and one-P (means curled). Easy marks if you learn the shape.	sparassis_cauliflower
22	YES	Trametes versicolor	Turkey Tail	No visible root symptoms - strictly saprophytic on dead tissue only	Thin bracket clusters on confirmed dead wood at base, concentric coloured zones of blue-grey, brown, cream and green-blue in the same bracket - multicoloured pattern characteristic	Thin brackets on confirmed dead stubs at stem base, velvet surface on upper side, white small circular pores on underside	Thin multicoloured brackets on confirmed dead branch stubs throughout crown	Numerous small thin brackets on dead branch stubs throughout crown - host tree otherwise in normal condition	Crown healthy and normal for species and age - presence of dead stubs with Trametes is not associated with crown decline	Thin flexible brackets with multiple colour zones in blue, grey, brown, cream and sometimes green-blue in concentric rings on the same bracket. No other common fungus produces this multicoloured zoning pattern. Strictly saprophytic - exclusively on confirmed dead tissue. Common and widespread. Frequently causes concern among clients who mistake it for a pathogenic finding.	GANODERMA: Brown or grey, thick woody brackets, at base on living tissue, pathogenic. BJERKANDERA ADUSTA: Smoky-grey pores, thin brackets but uniform grey-brown colour not multicoloured, dead wood only. FOMES FOMENTARIUS: Grey hoof-shaped, hard woody perennial, not multicoloured. DISTINGUISHING TRAMETES: Multicoloured concentric zones (blue, grey, brown, cream - multiple colours in same bracket), thin flexible not woody texture, small circular white pores, exclusively on confirmed dead wood.	Ecology: Strictly saprophytic - colonises confirmed dead wood only, with no pathogenic activity. Primary substrate: Dead branch stubs, pruning wounds, dead stems - any confirmed dead tissue. Colour zoning: Multiple colours in concentric rings - individual bracket may show blue-grey, brown, cream and green-blue zones. Texture: Thin, flexible, velvety upper surface - not woody. Structural implication: None for living tissue. Assessment note: Very commonly misidentified as a pathogenic fungus - correct identification has significant implications for tree management advice. Client communication: Presence is not associated with decline or failure risk - indicates normal deadwood colonisation appropriate to tree age and species.	THIN MULTICOLOURED BRACKETS on dead wood = Trametes versicolor. Multiple colour zones in one bracket - no other common species does this. Always confirm brackets are on dead tissue. Critical for client communication - NOT a disease. Remember: Trametes one-M and one-T, versicolor (versi = varied, color = colour - the name describes it directly).	trametes_multicolour_zones
23	YES	Daedaleopsis confragosa	Blushing Bracket	No visible root symptoms - primarily a weak pathogen and saprophyte of dying and dead tissue	Thin to medium brackets on dying or dead wood at base, grey-brown to reddish-brown upper surface with concentric zones, white to pale pink pore surface underneath	Brackets on lower stem at old wounds - pore surface elongated and maze-like not circular	Brackets at branch stubs and old wounds higher on stem	Brackets on major branches at attachment points and old pruning wounds	Localised crown dieback above bracket locations on dying branches - not a primary crown pathogen	The blushing reaction - pore surface turns pink to red when rubbed or pressed - is unique among common bracket fungi. This is a reliable field test: rub the white pore surface firmly and observe colour change within seconds. Maze-like elongated pores (daedaloid) on the underside distinguish from Trametes versicolor. Predominantly associated with Salix and Alnus.	TRAMETES VERSICOLOR: Multicoloured concentric zones, small circular pores, thin flexible texture, does not blush when rubbed. GANODERMA: Hard woody thick brackets, no blushing reaction. PHELLINUS IGNIARIUS: Grey-black, extremely hard, Salix host but no blushing reaction. BJERKANDERA ADUSTA: Smoky-grey pores, thin, no blushing reaction. DISTINGUISHING DAEDALEOPSIS: Blushing reaction (pore surface turns pink to red when rubbed - unique among common species), maze-like elongated pores, predominantly Salix and Alnus, medium thin brackets with zoned brown to red upper surface.	Host association: Predominantly Salix spp. and Alnus spp., occasionally other broadleaves. Primary substrate: Old wounds, dying and dead branches and stems. Ecology: Weak pathogen and saprophyte - accelerates decline of already stressed tissue, not a primary cause of decline. Blushing test: Rub pore surface firmly - pink to red colour develops within seconds and is reliable for field identification. Pore form: Elongated maze-like (daedaloid) - intermediate between circular and slotted. Structural implication: Contributes to decay at existing wound sites - not associated with primary structural failure. Assessment note: Presence on dying tissue is normal in stressed or declining Salix and Alnus.	RUB THE PORE SURFACE - if it turns pink = Daedaleopsis confragosa. This is the diagnostic field test and the most memorable feature. Salix or Alnus host supports the ID. Remember: Daedaleopsis - Daed-al-e-op-sis - five syllables, double-O before psis. Confragosa one-F and one-G. The blush test is the hook - do it in the field every time.	daedaleopsis_blushing
24	YES	Grifola frondosa	Hen of the Woods	Root plate reveals white rot in structural roots - fibrous pale residue, roots soft and compromised when probed	Large rosette of overlapping grey-brown fan-shaped brackets at root collar, individual brackets wavy-edged, total rosette commonly reaching 50-80cm in diameter	Brackets occasionally extend onto lower stem base	No visible symptoms	No visible symptoms	Progressive crown thinning and reduced vigour as root compromise develops - tree declining from below	Large rosette of overlapping grey-brown fan-shaped brackets at the base of OAK is characteristic. Visually similar to Meripilus giganteus but reliably separated by the bruising test - Grifola does NOT bruise when rubbed or pressed. Grey-brown upper surface (not cream-brown as in Meripilus). Predominantly oak. Annual brackets.	MERIPILUS GIGANTEUS: Cream-brown brackets, bruises brown to black when pressed (the single most reliable field separation), wider broadleaf host range. GANODERMA: Hard woody hoof or shelf bracket not rosette form, perennial, heavy spore deposits. PHAEOLUS SCHWEINITZII: Yellow-green margin, conifer host, spongy texture. DISTINGUISHING GRIFOLA: Grey-brown overlapping fan rosette, does NOT bruise when rubbed (unlike Meripilus), predominantly oak, white rot, annual, wavy and irregular bracket edges.	Host association: Predominantly Quercus spp., occasionally other broadleaves. Primary infection court: Structural roots and root collar. Decay type: White rot - simultaneous degradation of lignin and cellulose producing pale fibrous residue with progressive reduction in root structural integrity. Bruising test: No colour change when bracket tissue is rubbed or pressed - this separates Grifola from Meripilus with high reliability. Structural implication: Progressive reduction in anchorage stability with increased susceptibility to root plate rotation under dynamic wind loading. Failure mode: Windthrow predominant. Annual fruiting: Appears late summer to autumn.	GREY-BROWN ROSETTE at OAK BASE - rub it. If NO bruising = Grifola frondosa. If bruises BLACK = Meripilus giganteus. The bruise test is the single most important field separation between these two species. Remember: Grifola one-R and one-F, frondosa (frond-like - describes the overlapping bracket form). Oak host plus no bruising = Grifola.	grifola_grey_rosette
